City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
222,yarmouth,41.7057,-70.2286,11.09,67,75,5.36,US,1699639532
223,hithadhoo,-0.6,73.0833,27.22,82,66,5.38,MV,1699639764
224,kerouane,9.2667,-9.0167,25.82,64,80,0.81,GN,1699639764
225,ujae,8.9322,165.7642,27.7,83,100,6.79,MH,1699639765
226,aasiaat,68.7098,-52.8699,-8.02,81,100,4.74,GL,1699639765
227,itoman,26.1247,127.6694,25.22,78,100,4.63,JP,1699639765
228,cacu,-18.5567,-51.1308,39.22,12,16,3.66,BR,1699639765
229,touros,-5.1989,-35.4608,28.34,64,65,7.84,BR,1699639701
230,berdigestyakh,62.0989,126.6992,-27.31,100,100,0.45,RU,1699639766
231,lospalos,-8.5186,127.0025,20.82,87,48,0.36,TL,1699639766
232,puerto baquerizo moreno,-0.9,-89.6,25.55,89,100,5.14,EC,1699639766
233,crane,31.3974,-102.3501,10.77,43,99,3.53,US,1699639766
234,tabou,4.423,-7.3528,26.05,86,61,4.14,CI,1699639766
235,tulu bolo,8.6667,38.2167,14.34,55,27,4.28,ET,1699639767
236,bredasdorp,-34.5322,20.0403,17.65,79,87,2.79,ZA,1699639767
237,argenton-sur-creuse,46.59,1.5198,10.19,87,92,6.55,FR,1699639767
238,christchurch,-43.5333,172.6333,6.62,89,0,2.06,NZ,1699639512
239,las vegas,36.175,-115.1372,17.12,18,0,5.14,US,1699639108
240,monte santo,-10.4378,-39.3328,35.9,17,22,4.3,BR,1699639768
241,pergamino,-33.89,-60.5736,15.1,96,100,4.55,AR,1699639769
242,richmond,37.5538,-77.4603,12.99,72,100,8.75,US,1699639298
243,ouani,-12.1322,44.4258,27.09,79,27,3.02,KM,1699639770
244,altayskoye,51.9533,85.3325,1.53,85,100,2.31,RU,1699639771
245,saint-joseph,-21.3667,55.6167,25.21,83,51,0.95,RE,1699639718
246,tralee,52.2704,-9.7026,8.14,81,40,2.57,IE,1699639771
247,mont-dore,-22.2833,166.5833,18.99,79,44,2.73,NC,1699639771
248,whitehorse,60.7161,-135.0538,-0.55,86,75,7.2,CA,1699639509
249,numan,9.4667,12.0333,31.31,19,57,1.81,NG,1699639772
250,kadnikov,59.5022,40.338,2.68,96,95,2.34,RU,1699639772
251,banatski karlovac,45.0472,21.0161,11.03,59,100,7.55,RS,1699639772
252,uturoa,-16.7333,-151.4333,26.44,84,99,4.62,PF,1699639773
253,viedma,-40.8135,-62.9967,28.55,21,99,10.99,AR,1699639774
254,oranjestad,12.524,-70.027,31.62,76,75,9.77,AW,1699639774
255,vila velha,-20.3297,-40.2925,31.97,63,0,3.6,BR,1699639774
256,jatai,-17.8814,-51.7144,37.93,13,10,4.1,BR,1699639774
257,forbes,-33.3833,148.0167,19.08,66,6,2.98,AU,1699639774
258,vila franca do campo,37.7167,-25.4333,22.16,99,96,6.55,PT,1699639774
259,chongwe,-15.3292,28.682,24.7,42,32,3.77,ZM,1699639775
260,kigoma,-4.8769,29.6267,24.77,73,99,1.89,TZ,1699639775
261,badger,64.8,-147.5333,-6.47,89,100,1.54,US,1699639775
262,gebeit,21.0667,36.3167,25.29,58,45,5.1,SD,1699639775
263,beloyarskiy,63.7119,66.6722,-5.0,97,100,1.79,RU,1699639776
264,vorkuta,67.5,64.0,-14.67,99,86,1.75,RU,1699639776
265,newman,37.3138,-121.0208,16.14,32,89,2.28,US,1699639528
266,bintulu,3.1667,113.0333,23.93,95,100,2.89,MY,1699639776
